Dx,SNOMED CT Code,Abbreviation,Description,Link
left atrial enlargement,6.77E+13,LAE,,
left atrial hypertrophy,446813000,LAH,,
left axis deviation,39732003,LAD,,
left bundle branch block,164909002,LBBB,,
left posterior fascicular block,445211001,LPFB,,
left ventricular hypertrophy,164873001,LVH,,
left ventricular strain,370365005,LVS,,
low qrs voltages,251146004,LQRSV,,
mobitz type i wenckebach atrioventricular block,54016002,MoI,,
myocardial infarction,164865005,MI,,
myocardial ischemia,164861001,MIs,,
nonspecific intraventricular conduction disorder,698252002,NSIVCB,,
nonspecific st t abnormality,428750005,NSSTTA,,
old myocardial infarction,164867002,OldMI,,
pacing rhythm,10370003,PR,,
paired ventricular premature complexes,251182009,VPVC,,
paroxysmal atrial fibrillation,282825002,PAF,,
paroxysmal supraventricular tachycardia,67198005,PSVT,,
paroxysmal ventricular tachycardia,425856008,PVT,,
premature atrial contraction,284470004,PAC,,
premature ventricular contractions,427172004,PVC,,
ventricular premature beats,17338001,VPB,,
prolonged pr interval,164947007,LPR,,
prolonged qt interval,111975006,LQT,,
qwave abnormal,164917005,QAb,,
r wave abnormal,164921003,RAb,,
rapid atrial fibrillation,314208002,RAF,,
right atrial abnormality,253339007,RAAb,,
right atrial hypertrophy,446358003,RAH,,
right axis deviation,47665007,RAD,,
right bundle branch block,59118001,RBBB,,
right ventricular hypertrophy,89792004,RVH,,
s t changes,55930002,STC,,
shortened pr interval,49578007,SPRI,,
sinoatrial block,65778007,SAB,,
sinus arrhythmia,427393009,SA,,
sinus bradycardia,426177001,SB,,
sinus node dysfunction,60423000,SND,,
sinus rhythm,426783006,NSR,,
sinus tachycardia,427084000,STach,,
st depression,429622005,STD,,
st elevation,164931005,STE,,
st interval abnormal,164930006,STIAb,,
supraventricular bigeminy,251168009,SVB,,
supraventricular premature beats,63593006,SVPB,,
supraventricular tachycardia,426761007,SVT,,
suspect arm ecg leads reversed,251139008,ALR,,
t wave abnormal,164934002,TAb,,
t wave inversion,59931005,TInv,,
transient ischemic attack,266257000,TIA,,
u wave abnormal,164937009,UAb,,
ventricular bigeminy,11157007,VBig,,
ventricular ectopics,164884008,VEB,,
ventricular escape beat,75532003,VEsB,,
ventricular escape rhythm,81898007,VEsR,,
ventricular fibrillation,164896001,VF,,
ventricular flutter,111288001,VFL,,
ventricular hypertrophy,266249003,VH,,
ventricular pacing pattern,251266004,VPP,,
ventricular pre excitation,195060002,VPEx,,
ventricular tachycardia,164895002,VTach,,
ventricular trigeminy,251180001,VTrig,,
wandering atrial pacemaker,195101003,WAP,,
wolff parkinson white pattern,74390002,WPW,,
